term,glossary_url,primary_query,allowed_secondary_query,forbidden_query,service_owner,glossary_role
취득세,/glossary/acquisition-tax,상속·매매 취득세와 등기 순서,상속취득세 기한,취득세 뜻 | 부산 상속등기,/취득세,REMOVE_FROM_DISCOVERY
인지대,/glossary/stamp-duty,법원 신청 인지대,,인지대 뜻,/부산지방법원지급명령,REMOVE_FROM_DISCOVERY
송달료,/glossary/service-fee,법원 송달료,,송달료 뜻,/부산개인회생,REMOVE_FROM_DISCOVERY
지급명령,/glossary/payment-order,돈을 못 받았을 때 지급명령,지급명령 신청 서류 | 지급명령 이의,지급명령 소송대리 | 부산 법무사,/부산지방법원지급명령,SUPPORT_NOINDEX
내용증명,/glossary/certified-mail,보증금·대금 내용증명,내용증명 언제 보내나,부산 법무사,/내용증명작성준비,SUPPORT_NOINDEX
소장,/glossary/complaint,소장과 지급명령 구분,,소장 작성 소송대리 | 민사소송 변호사,/민사소송,REMOVE_FROM_DISCOVERY
답변서,/glossary/answer-brief,답변서 제출 기한,,답변서 소송대리,/민사소송,REMOVE_FROM_DISCOVERY
개인회생,/glossary/personal-rehabilitation,개인회생 신청 전 확인,개인회생 변제계획 | 개인회생 서류,부산 개인회생 | 부산 개인회생 법무사,/부산개인회생,SUPPORT_NOINDEX
개인파산,/glossary/personal-bankruptcy,개인파산 신청 전 확인,개인파산 면책 | 회생과 파산 비교,부산 개인파산 | 부산 개인파산 법무사,/부산개인파산,SUPPORT_NOINDEX
면책,/glossary/discharge,파산·회생 후 면책,면책 불허 사유,부산 개인파산,/부산면책신청,SUPPORT_NOINDEX
법인설립등기,/glossary/company-establishment-registration,법인설립등기 준비서류,설립등기 순서 | 정관·자본금,부산 법인설립등기 | 부산 법인 법무사,/부산법인설립등기,SUPPORT_NOINDEX
임원변경등기,/glossary/director-change-registration,임원변경등기 2주 기한,대표이사 변경 과태료 | 임원변경 서류,부산 임원변경등기 | 부산 법인등기,/부산임원변경등기,SUPPORT_NOINDEX
본점이전등기,/glossary/head-office-move-registration,법인 사무실 이전 등기,관할 내외 본점이전,부산 본점이전등기 | 부산 법인등기,/부산본점이전등기,SUPPORT_NOINDEX
목적변경등기,/glossary/purpose-change-registration,법인 사업목적 추가 등기,목적변경 주주총회,부산 법인등기,/부산사업목적변경등기,SUPPORT_NOINDEX
해산등기,/glossary/dissolution-registration,법인 폐업과 해산등기,해산등기 주주총회,부산 법인등기,/부산법인해산청산등기,SUPPORT_NOINDEX
청산등기,/glossary/liquidation-registration,청산종결등기 순서,해산 후 청산등기,부산 법인등기,/부산법인해산청산등기,SUPPORT_NOINDEX
