keyword,owner_url,secondary_url,cluster,notes
부산 직원 특강,/기업법률교육,/공공기관법률교육,corporate,직원=기업 우선
부산 종사자 교육,/부산사회복지기관강사,/공공기관법률교육,welfare,복지 종사자
공무원 생활법률 교육,/공공기관법률교육,,public,대상. 법정교육 아님
부산 도서관 특강,/부산도서관법률특강,,library,PRIMARY 동의어
부산 도서관 법률특강,/부산도서관법률특강,,library,PRIMARY
부산 도서관 강사,/부산도서관법률특강,,library,동일
부산 평생학습 강사,/부산도서관법률특강,,library,동일
부산 평생교육 강사,/부산도서관법률특강,,library,동일
부산 시민강좌 강사,/부산도서관법률특강,,library,동일
부산 주민 특강,/부산도서관법률특강,,library,시민 대상
부산 성인교육 강사,/부산도서관법률특강,,library,동일
시민 생활법률 강의,/부산도서관법률특강,/법률강의,library,대상
부산 상속 강의 강사,/부산도서관법률특강,,library,시민강좌 상속 기초. 상속등기 사건 페이지 아님
부산 사회복지기관 강사,/부산사회복지기관강사,,welfare,이력·고유본문 있어 유지
부산 복지기관 강사,/부산사회복지기관강사,,welfare,동일
부산 복지관 특강,/부산사회복지기관강사,,welfare,동일
부산 사회복지사 교육 강사,/부산사회복지기관강사,,welfare,동일
부산 복지기관 종사자교육,/부산사회복지기관강사,,welfare,동일
부산 자립지원 종사자교육,/부산사회복지기관강사,,welfare,확인된 이력
부산 현장 실무교육 강사,/부산사회복지기관강사,,welfare,종사자 현장
복지기관 종사자 법률교육,/부산사회복지기관강사,,welfare,대상
부산 법무사 강의,/부산법무사강의,,lawyer-identity,PRIMARY. 허브와 역할 분리
부산 법무사 특강,/부산법무사강의,,lawyer-identity,동의어
부산 법무사 출강,/부산법무사강의,,lawyer-identity,동의어
법률 강사 프로필,/강사소개,,speaker,프로필 PRIMARY
안윤정 법무사 강사,/강사소개,,speaker,인물
부산 강사 프로필,/강사소개,/강의문의,admin-docs,행정 검색. FAQ/소개서로 대응
부산 강사 소개서,/강사소개,,admin-docs,동일
강의 이력,/강의이력,,history,실적 증명
안윤정 법무사 강의 경력,/강의이력,,history,PRIMARY
안윤정 법무사 강의 이력,/강의이력,,history,동의어
부산 강의계획서,/부산강사섭외체크리스트,/강의문의,admin-docs,정보성. 고정 양식 단정하지 않음
부산 강사 제안서,/부산강사섭외체크리스트,,admin-docs,동일
부산 특강 제안서,/부산강사섭외체크리스트,,admin-docs,동일
강의계획서에 들어갈 내용,/부산강사섭외체크리스트,,admin-docs,동일
강사 프로필 요청 방법,/부산강사섭외체크리스트,,admin-docs,동일
부산 강사 섭외 체크리스트,/부산강사섭외체크리스트,,admin-docs,PRIMARY
부산 외부강사 섭외 방법,/부산강사섭외체크리스트,,admin-docs,동일
부산 강의 견적,/부산강사섭외비용,,admin-cost,고정가 없음. 결정 요인만
부산 특강 비용,/부산강사섭외비용,,admin-cost,동일
부산 강사료,/부산강사섭외비용,,admin-cost,동일
부산 강의료,/부산강사섭외비용,,admin-cost,동일
부산 출강료,/부산강사섭외비용,,admin-cost,동일
부산 특강 강사 비용,/부산강사섭외비용,,admin-cost,동일
부산 외부강사 비용,/부산강사섭외비용,,admin-cost,동일
부산 강사 섭외 비용,/부산강사섭외비용,,admin-cost,PRIMARY
강의료 견적,/부산강사섭외비용,,admin-cost,동일
강사 교통비,/부산강사섭외비용,,admin-cost,동일
부산 기관 특강 주제 추천,/기관특강주제추천,,admin-topics,기획 가이드. 가짜 랭킹 아님
부산 직원교육 주제 추천,/기관특강주제추천,,admin-topics,동일
부산 청년 프로그램 강의주제,/기관특강주제추천,,admin-topics,동일
부산 시민강좌 주제 추천,/기관특강주제추천,,admin-topics,동일
1시간 특강 주제,/강의시간별구성,,admin-duration,시간 구성
2시간 참여형 교육,/강의시간별구성,,admin-duration,동일
4시간 실무 워크숍,/강의시간별구성,,admin-duration,동일
부산 법률 전문가,/부산법률전문가,,expert,실무·공공활동. 강의 허브와 분리
부산법률전문가,/부산법률전문가,,expert,표기
부산 법률전문가,/부산법률전문가,,expert,표기
부산 법률 전문가 추천,/부산법률전문가,,expert,가짜 순위 없음
부산 법률 전문가 섭외,/부산법률전문가,/부산법률강사,expert,강의 섭외는 /부산법률강사
부산 법률 전문가 강연,/부산법률전문가,,expert,동일
부산 법률 전문가 출연,/부산법률전문가,,expert,언론
부산 법률 전문가 인터뷰,/부산법률전문가,,expert,언론
부산 법률 전문가 패널,/부산법률전문가,,expert,동일
부산 법률 전문가 자문,/부산법률전문가,,expert,자문≠강의
부산 법률 실무 전문가,/부산법률전문가,,expert,동일
부산 법률 강연 전문가,/부산법률전문가,,expert,동일
강사,/부산법률강사,,generic-hiring,광범위. 법률·특강 맥락만
강사 추천,/부산법률강사,,generic-hiring,가짜 순위 없음
강사 섭외,/부산법률강사,,generic-hiring,지역 없음 → hiring hub
강사 초빙,/부산법률강사,,generic-hiring,동일
외부강사,/부산법률강사,,generic-hiring,동일
외부강사 섭외,/부산법률강사,,generic-hiring,동일
전문강사,/부산법률강사,,generic-hiring,동일
전문강사 섭외,/부산법률강사,,generic-hiring,동일
전문가 특강,/부산법률강사,/법률강의,generic-hiring,동일
전문가 초청 특강,/부산법률강사,,generic-hiring,동일
특강 강사,/부산법률강사,,generic-hiring,동일
특강 강사 섭외,/부산법률강사,,generic-hiring,동일
강연 강사,/부산법률강사,,generic-hiring,동일
강연자 섭외,/부산법률강사,,generic-hiring,동일
연사 섭외,/부산법률강사,,generic-hiring,동일
초청 강사,/부산법률강사,,generic-hiring,동일
세미나 강사,/부산법률강사,,generic-hiring,동일
교육 강사,/부산법률강사,,generic-hiring,법률교육 맥락
현직자 강사,/법무사진로특강,/학교법률교육,career,직업인·현직자 진로
현직자 특강,/법무사진로특강,/학교법률교육,career,동일
현직자 초청 특강,/법무사진로특강,,career,동일
직업인 특강,/법무사진로특강,/학교법률교육,career,학교 직업인 초청
직업인 초청 특강,/법무사진로특강,,career,NEW_SCHOOL_TERM
전문 직업인 특강,/법무사진로특강,,career,NEW_SCHOOL_TERM
찾아가는 직업인 특강,/법무사진로특강,,career,NEW_SCHOOL_TERM
진로특강 강사,/법무사진로특강,,career,PRIMARY career
진로교육 강사,/법무사진로특강,,career,동일
법조인 진로특강,/법무사진로특강,,career,PRIMARY
법조인 초청 특강,/법무사진로특강,,career,동일
현직 법조인 특강,/법무사진로특강,,career,동일
법무사 직업특강,/법무사진로특강,,career,동일
전문직 진로특강,/법무사진로특강,,career,동일
고등학교 진로특강,/법무사진로특강,/학교법률교육,school,진로 중심
고등학교 진로특강 강사,/법무사진로특강,,school,PRIMARY school career
고등학교 강사,/학교법률교육,,school,학교 허브
고등학교 외부강사,/학교법률교육,/부산법률강사,school,동일
학교 외부강사,/학교법률교육,,school,동일
대학교 특강 강사,/학교법률교육,/청년생활법률특강,university,대학 슬롯
대학 외부강사,/학교법률교육,,university,동일
대학생 진로특강,/법무사진로특강,/청년생활법률특강,university,진로
대학생 현직자 특강,/법무사진로특강,,university,동일
현직자 멘토링,/법무사진로특강,,university,NEW_UNIVERSITY_TERM
비교과 특강 강사,/학교법률교육,,university,NEW_UNIVERSITY_TERM
취업 진로 특강,/법무사진로특강,,university,동일
대학생 생활법률 특강,/청년생활법률특강,/학교법률교육,university,생활법률
대학생 전세사기 예방교육,/전세사기예방교육,,university,주제
법률 특강 강사,/법률강의,/부산법률강사,generic-topic,GENERIC hub intent
진로 특강 강사,/법무사진로특강,,generic-topic,GENERIC career
법률교육 강사,/법률강의,/부산법률강사,generic-topic,동일
생활법률 특강 강사,/법률강의,/부산도서관법률특강,generic-topic,동일
기업교육 강사,/기업법률교육,,corporate,지역 없음
사내교육 강사,/기업법률교육,,corporate,동일
공공기관 강사,/공공기관법률교육,,public,지역 없음
기관 외부강사,/공공기관법률교육,/부산법률강사,public,동일
전세사기 예방 강사,/전세사기예방교육,,jeonse,지역 없음
창업 법률 강사,/창업법률교육,,startup,지역 없음
강사 프로필,/강사소개,,admin-docs,섭외 단계
강의계획서,/부산강사섭외체크리스트,,admin-docs,동일
특강 제안서,/부산강사섭외체크리스트,,admin-docs,동일
강사료,/부산강사섭외비용,,admin-cost,고정가 없음
외부강사 강사료,/부산강사섭외비용,,admin-cost,동일
출강료,/부산강사섭외비용,,admin-cost,동일
울산 법률강사,/부산법률강사,,region-adjacent,출강 협의. clone page 금지
창원 청년특강 강사,/청년생활법률특강,,region-adjacent,창원청년비전센터 이력
양산 진로특강 강사,/법무사진로특강,,region-adjacent,양산제일고 이력
김해 법률특강,/법률강의,,region-adjacent,출강 협의 only
경남 진로강사,/법무사진로특강,,region-adjacent,실적 기반
