url,h1_count,h1,extra_h1,first_h2,h2_sample
/부산개인회생,1,"부산 개인회생, 신청 전 무엇부터 확인할까요?",,자세히 알아보기,자세히 알아보기 | 핵심 절차 | 필요 서류 | 상담 포인트 | 상담이 필요한 대표 상황
/해운대법무사,1,"해운대 법무사, 센텀·재송·우동에서 맡길 수 있는 업무",,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다 | 자세히 알아보기 | 핵심 절차 | 필요 서류 | 상담 포인트
/센텀법무사,1,"센텀 법무사, 법인설립·임원변경·본점이전을 어디서부터 볼까",,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다 | 자세히 알아보기 | 핵심 절차 | 필요 서류 | 상담 포인트
/연제구법무사,1,"연제구 법무사 상담, 연산동·거제동에서 어떤 업무를 맡길 수 있을까요?",,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다 | 자세히 알아보기 | 핵심 절차 | 필요 서류 | 상담 포인트
/about,1,안윤정 법무사 소개,,대표 안윤정 법무사,대표 안윤정 법무사 | 위원회·강의 실적 | 주요 경력 및 자격 | 기업과 지역사회의 든든한 조력자 | 대외활동
/office,1,다옴법무사사무소 안내,,사무소 공간,사무소 공간 | 이 사무소에서 무엇을 확인하나요 | 방문·원격 상담은 이렇게 진행됩니다 | 지금 연락·예약하기 | 방문·문의 전에 준비하면 좋은 것
/services,1,부산 등기·상속·법인·회생 업무안내,,주요 업무 분야,주요 업무 분야 | 업무별 안내 | 신축건물 보존등기 | 협업·프로젝트 | 공공기관 등기업무
/contact,1,상담 문의,,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다 | 사무소 연락처 | 상담 방법 | 빠른 상담 | 온라인 문의 · 네이버 예약
/location,1,오시는 길,,사무소 위치,사무소 위치 | 위치 지도 | 사무소 찾아오시는 길 | 주차 안내 | 상담 문의
/media,1,언론·활동,,영상,영상 | 기업과 지역사회의 든든한 조력자 | 대외활동 | 강의·강연 | 언론보도
/강의이력,1,안윤정 법무사 강의·특강 이력,,현장에서 이어가는 생활법률 교육,현장에서 이어가는 생활법률 교육 | 확인된 강의 이력 요약 | 연도·주제별 강의 이력 | 강사 소개·문의
/강의문의,1,부산 강의·특강 문의,,강의 가능 일정을 남겨 주세요,강의 가능 일정을 남겨 주세요 | 강의 문의 | 남겨 주시면 좋은 정보 | 자주 문의하는 주제 | 자주 묻는 질문
/법률강의,1,부산 법률 강의·특강 | 안윤정 법무사 출강 안내,,어떤 교육을 찾고 계신가요?,어떤 교육을 찾고 계신가요? | 어디에서 진행하시나요? | 담당자가 5초 안에 고르는 방법 | 주요 강의 주제 | 확인된 강의 이력
/상속,1,상속등기·상속포기·한정승인·전국 상속 상담,,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다 | 자세히 알아보기 | 핵심 절차 | 필요 서류 | 상속인이 여러 지역에 있어도 절차부터 확인할 수 있습니다
/전국상속등기,1,전국 어디서나 맡길 수 있는 상속등기,,부산에 방문하지 않아도 전국 상속·유증등기를 진행할 수 있습니다,부산에 방문하지 않아도 전국 상속·유증등기를 진행할 수 있습니다 | 자세히 알아보기 | 핵심 절차 | 필요 서류 | 상속인이 여러 지역에 있어도 절차부터 확인할 수 있습니다
/법인등기,1,부산 법인설립·임원변경·본점이전 등기 상담,,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다,부산에 방문하지 않아도 업무를 끝까지 진행할 수 있습니다 | 자세히 알아보기 | 핵심 절차 | 필요 서류 | 상담 포인트
/부동산등기,1,부산 부동산등기·소유권이전·매매등기 상담,,자세히 알아보기,자세히 알아보기 | 핵심 절차 | 필요 서류 | 상담 포인트 | 상담이 필요한 대표 상황
