url,http_status,title,description,robots,x_robots,protection
/office,200,해운대·센텀 법무사 사무소 | 다옴법무사사무소,"부산 해운대구 센텀 다옴법무사사무소. 주소·운영시간·주차·상담 방식과 방문 전 준비사항을 안내합니다. 안윤정 법무사가 직접 상담하며, 예약 후 방문해 주세요.","index, follow",,P2
/services,200,부산 등기·상속·회생 업무안내 | 다옴법무사사무소,"상속등기·상속포기·한정승인, 부동산등기, 법인설립·임원변경등기, 개인회생·파산 업무별 절차·수임 범위·실무 사례 안내.","index, follow",,P2
/contact,200,상담 문의 · 해운대·센텀 예약 | 다옴법무사사무소,전화·카카오톡·네이버 톡톡 상담 안내. 방문 예약 후 센텀 사무소에서 직접 상담 가능.,"index, follow",,P2
/location,200,오시는 길 · 센텀 | 다옴법무사사무소,"부산 해운대구 센텀동로 200 D동 1층 위치, 센텀시티역·주차·건물 안내, 네이버 예약 링크.","index, follow",,P0
/media,200,언론·활동 | 다옴법무사사무소,"언론 보도, 법률 강의, 기업·공공기관 협력, 정책 자문 등 대외 활동 기록.","index, follow",,P2
/강의이력,200,안윤정 법무사 강의 이력 | 확인된 출강,"부산 시민, 청년, 학생, 자립준비청년, 예비창업자, 기업·기관 임직원을 대상으로 진행한 생활법률, 전세사기 예방, 디지털 법률, 창업 법률교육 이력을 안내합니다.","index, follow",,P2
/강의문의,200,부산 강의 문의 | 특강·출강 안내,부산 강의·특강·출강 문의. 공공기관·기업·도서관·청년기관·학교 담당자용. 생활법률·전세사기·창업 특강을 대상과 시간에 맞춰 구성합니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P2
/법률강의,200,부산 법률 강의·특강 | 안윤정 법무사,안윤정 법무사의 부산 법률 강의·특강. 생활법률·전세사기·청년·창업 교육. 공공기관·도서관·기업·학교 출강. 확인된 이력과 문의 안내. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P2
/상속,200,상속등기·포기·한정승인｜전국·부산 상담 | 다옴법무사사무소,"상속 법무 종합 안내. 전국 상속등기·유증등기, 부산 상속포기·한정승인·재산분할. 다옴법무사사무소 안윤정 법무사가 절차·서류·비용·기한을 실무 기준으로 안내합니다.","index, follow",,P2
/전국상속등기,200,전국 상속등기 법무사｜지역이 달라도 … | 다옴법무사사무소,"전국 상속등기 법무사 안내. 타지역·비대면 상속등기, 여러 지역 상속부동산, 관할 특례 검토. 부산 방문 없이 바로 상담·진행해 보세요. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.","index, follow",,P2
/법인등기,200,법인설립·임원변경·본점이전｜부산 법인등기 | 다옴법무사사무소,부산 법인설립등기·임원변경등기·본점이전·증자·해산청산. 센텀·문현·명지 법인 등기 실무. 다옴법무사사무소 안윤정 법무사. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P2
/부동산등기,200,부동산등기·소유권이전｜매매·증여 절차 | 다옴법무사사무소,부산 부동산등기·소유권이전등기·매매·증여·상속·재개발·전세권 등기. 해운대·서면·남부산등기소 관할 안내. 다옴법무사사무소. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P2
