keyword,cluster,expected_owner,naver_pc_rank,naver_mobile_rank,top5_pc,top5_mobile,observed_date,observation_method,confidence,competitor_urls,notes,status
부산 상속포기,inheritance,/부산상속포기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 한정승인 법무사,inheritance,/부산한정승인,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 한정승인,inheritance,/부산한정승인,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 특별한정승인 법무사,inheritance,/특별한정승인,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 특별한정승인,inheritance,/특별한정승인,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 상속재산분할 법무사,inheritance,/부산상속재산분할법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 상속재산분할협의,inheritance,/부산상속재산분할법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 대습상속,inheritance,/대습상속등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 미성년자 상속,inheritance,/미성년상속인,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 해외 상속인 상속등기,inheritance,/해외거주상속인,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 부동산 법무사,real-estate,/부산부동산등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 부동산등기 법무사,real-estate,/부산부동산등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 부동산등기,real-estate,/부산부동산등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 소유권이전등기 법무사,real-estate,/부산소유권이전등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 아파트 등기 법무사,real-estate,/부산부동산등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 매매등기 법무사,real-estate,/부산소유권이전등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 증여등기 법무사,real-estate,/부산증여등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 근저당설정 법무사,real-estate,/부산근저당설정등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 근저당말소 법무사,real-estate,/부산근저당말소등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 전세권설정 법무사,real-estate,/부산전세권설정등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 전세권말소 법무사,real-estate,/부산전세권말소등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 보존등기 법무사,real-estate,/부산신축건물보존등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 가등기 법무사,real-estate,/부산가등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법인 법무사,corporate,/부산법인법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법인등기 법무사,corporate,/부산법인등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법인등기,corporate,/부산법인등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법인설립 법무사,corporate,/부산법인설립등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법인설립등기,corporate,/부산법인설립등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 임원변경등기 법무사,corporate,/부산임원변경등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 대표이사 변경등기,corporate,/부산임원변경등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 본점이전등기,corporate,/부산본점이전등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 목적변경등기,corporate,/부산사업목적변경등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 증자등기,corporate,/부산유상증자등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 해산등기,corporate,/부산법인해산청산등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 청산등기,corporate,/부산법인해산청산등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 개인회생 법무사,rehab,/부산개인회생법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 개인회생,rehab,/부산개인회생,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 개인파산 법무사,rehab,/부산개인파산법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 개인파산,rehab,/부산개인파산,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 회생파산 법무사,rehab,/개인회생파산,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 파산면책,rehab,/부산개인파산,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 개인회생 비용,rehab,/개인회생비용,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 개인파산 비용,rehab,/개인파산비용,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 지급명령 법무사,civil,/부산지방법원지급명령,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 내용증명 법무사,civil,/내용증명작성준비,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 임차권등기명령 법무사,civil,/부산임차권등기명령,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 가압류 말소 법무사,civil,/부산가압류말소등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 개명 법무사,civil,/부산개명허가,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 중구 법무사,district,/중구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 서구 법무사,district,/서구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 동구 법무사,district,/동구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
영도구 법무사,district,/영도구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산진구 법무사,district,/부산진구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
동래구 법무사,district,/동래구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 남구 법무사,district,/남구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 북구 법무사,district,/북구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
해운대구 법무사,district,/해운대법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
해운대 법무사,district,/해운대법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
사하구 법무사,district,/사하구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
금정구 법무사,district,/금정구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
강서구 법무사,district,/강서구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
연제구 법무사,district,/연제구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
수영구 법무사,district,/수영구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
사상구 법무사,district,/사상구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
기장군 법무사,district,/기장군법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
기장 법무사,district,/기장군법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
센텀 법무사,neighborhood,/센텀법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
센텀시티 법무사,neighborhood,/센텀법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
재송동 법무사,neighborhood,/재송동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
반여동 법무사,neighborhood,/반여동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
우동 법무사,neighborhood,/우동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
좌동 법무사,neighborhood,/좌동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
연산동 법무사,neighborhood,/연산동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
거제동 법무사,neighborhood,/거제동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
광안동 법무사,neighborhood,/광안동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
광안리 법무사,neighborhood,/광안리법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
민락동 법무사,neighborhood,/민락동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
망미동 법무사,neighborhood,/망미동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
남천동 법무사,neighborhood,/남천동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
사직동 법무사,neighborhood,/사직동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
온천동 법무사,neighborhood,/온천동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
명륜동 법무사,neighborhood,/동래구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
서면 법무사,neighborhood,/서면법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부전동 법무사,neighborhood,/부전동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
전포동 법무사,neighborhood,/전포동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
대연동 법무사,neighborhood,/대연동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
용호동 법무사,neighborhood,/용호동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
문현동 법무사,neighborhood,/문현동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
덕천동 법무사,neighborhood,/덕천동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
화명동 법무사,neighborhood,/화명동법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
만덕동 법무사,neighborhood,/북구법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 강의 문의,lecture,/강의문의,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
